	1
0	 уважаема надо было перевести в апик, он был бы как дома со всеми остальными людьми. извини
1	 Кто-либо из кричащих младенцев, которые не уважают демократию, придет, это будет неразумный поступок.
2	 здравствуйте, вы сексуальная маленькая любовница!...
3	 ничего не изменится из этой хрени. попробуйт
4	 голосование за нее, если экзаменатор и недальновидно ее не любит.
5	 уважаемый, создавайте, пожалуйста, каналы, чтобы россияне поняли через сколько секун
6	 Чтобы он был таким плохим водителем и попадал в глупые ситуации, я бы его не выручал.
7	 работает с Россией, для уничтожения американцев и их стран. Чтобы уничтожить Америку и их людей. Чтобы уничтожить люд
8	 чертовы молодые матери, которые водят своих детей в детский сад.
9	 почему канадцы так увлечены хоккеем, когда все их команды проигрывают?
10	 Канада, была бы очень рада стать родственницей Мексики, если бы Европа прекратила свое развитие.
11	 я не голосовал за лжеца. но види
12	 думают что мы действительно недалекие или просто слишком ленивые для них?.........................
13	 лучше, чем любой из бездельников, которые сейчас защищают это шоу.
14	 свободным мира не нужна ваша глупость.
15	 видели вы как нелепо выглядят эти вещи? видели вы как не
16	 Вы вообще эту статью читали? или вы только один из них? Можете сами в Диксон вра
17	 морально банкрот, интеллектуально ленив и сверх тогонально недозорен.он ушел до того, как его подвергли импичменту.
18	 для этих двух толстых и умных - не путь. попробуйте для начала схо
19	 Я уверен, что некоторые из них имеют политическую недальновидность и пытаются прикрыть свой зад. Надеюсь, вы поняли, что некоторые из них и
20	 свободная страна, которая защищает права человека от таких небольших людей, как вы.
21	 Спасибо за то, что нашли время проявить себя. Надеюсь, вы поняли, что я смог помочь. Надеюсь, вы поня
22	 хотели бы вы, чтобы я замолчал, ко
23	 считаю, что Клаф часто бывает недалёким человеком. Считаю, что Кла
24	 Лизнул палец - стал похож на еблещёёба.
25	 это полная и полная чушь! что вы хотит
26	 идите в поход, пожалуйста. п
27	 продолжайте пополнять свой игнор-лист, дорогой. при каждом добавлен
28	 парню необходимо скорее расстаться. попробуй
29	 серьезно глупый человек прямо здесь говорит о том, что необходимо ввести в стране систему электронного пра
30	 извините, но мне вас очень жаль, если вы опубликуете это мерзкое творен
31	 что происходит, когда глупые посылают мальчика выполнять мужскую работу.
32	 вы бы не публиковали такой поток.
33	 поражает утверждение, что американцы избиратели просто недалёкие.
34	 у вас не хватило смелости опубликовать свой черный список. подскажите, у
35	 конечно, я чувствую себя лучше, не соприкасаясь с грязью и глупостью. надеюсь, я пон
36	 вы, возможно, заплатите за то, чтобы узнать, насколько на самом деле расстроено общество. попробуйте, пожалуйста, прочитать мой 
37	 Обезьяну оштрафовали за оскорбление. Теперь выглядит обидным неплательщиком.
38	 хорошо, если вы, уважаемый, полагаете, что он когда-нибудь снова увидит свет как свободный человек.
39	 подскажите, у меня в семье 3 поколения там родились
40	 какая-то совсем недалекая и лицемерная модель. 
41	 похожи на пиратов-людоедов. Есть разница?
42	 Лизнул денежку, носит маленькую шляпу. Похоже на правду.
43	 тот факт, что мы все собираемся заплатить за этого человека из партии свободолюбивых людей, меня просто тошнит.
44	 бедные люди - отвратительные глупые недальновидные люди, которые никогда не заслуживают медицинской помощи. вер
45	 достаточно плохо, что этот глупый человек holt1 делает это. попр
46	 Уважаемый человек - искусны
47	 я сомневаюсь, что уважаемый китаец мог бы даже помочь канадскому флоту. надеюсь, что ув
48	 в ответ на ваш комментарий чушь. попробуйте п
49	 и голосовали за него. вы правильно поня
50	 пусть он будет продолжать в том же духе, пока у него не наберется достаточно веревки.пусть он будет продолжать в
51	 потомок африканцев может вернуться в тюремное дерьм
52	 показывает, насколько испорчены взаимоотношения католиков и пр
53	 Неприскорбные drumpfs считают, что любой, кто не является белым, определенно незаконен.
54	 я уже говорил, ты недалёкий. попробуй
55	 им всем запастись им в заднице.
56	 этот парень недалекий как пост.
57	 Какая за нелепая, жестокая шутка.
58	 честно говоря, вы недалекий человек, если думаете, что он когда-нибудь снова увидит свет как свободный челов
59	 пусть он будет продолжать в том же духе, пока у него не наберется достаточно веревки, чтобы повеситься.пусть он 
60	 часть мусульман, которые являются радикальными мусульманами.
61	 идите в поход, дорогой. что 
