АДСОРБИРОВАТЬ	106876-V	ВЫСКАЗАТЬ
АДСОРБИРОВАТЬ	116816-V	ОБРАТИТЬСЯ СО СЛОВАМИ
АДСОРБИРОВАТЬ	116009-V	ЗАПРЕТИТЬ (НЕ ПОЗВОЛИТЬ)
АДСОРБИРОВАТЬ	118698-V	ДЕЙСТВИЕ, ЦЕЛЕНАПРАВЛЕННОЕ ДЕЙСТВИЕ
АДСОРБИРОВАТЬ	111978-V	ПРИБЛИЗИТЬСЯ НА РАССТОЯНИЕ
АДСОРБИРОВАТЬ	121163-V	ПРИЙТИ (ДОСТИГНУТЬ ПОСЛЕ К-Л. ДЕЙСТВИЙ)
АДСОРБИРОВАТЬ	106961-V	СОРЕВНОВАНИЕ, СОСТЯЗАНИЕ
АДСОРБИРОВАТЬ	118698-V	ДЕЙСТВИЕ, ЦЕЛЕНАПРАВЛЕННОЕ ДЕЙСТВИЕ
АДСОРБИРОВАТЬ	106638-V	УМЕНЬШИТЬ
АДСОРБИРОВАТЬ	106884-V	СЧИТАТЬ, ПРИЗНАВАТЬ КЕМ-ЛИБО
АКАТЬ	111100-V	ПЛАВИТЬ
АКАТЬ	129701-V	ВАРКА (ТЕХНОЛОГИЧЕСКИЙ ПРОЦЕСС)
АКАТЬ	106938-V	ПЕРЕМЕСТИТЬ
АКАТЬ	112995-V	СКЛОННОСТЬ (ПОСТОЯННОЕ ВЛЕЧЕНИЕ)
АКАТЬ	106497-V	ИСПОЛЬЗОВАТЬ, УПОТРЕБЛЯТЬ
АКАТЬ	148420-V	ОТНОШЕНИЯ МЕЖДУ ЛЮДЬМИ
АКАТЬ	602-V	МИГРАЦИЯ НАСЕЛЕНИЯ
АКАТЬ	7094-V	ВЫЕЗД ЗА РУБЕЖ
АКАТЬ	107094-V	ПРОИЗНЕСТИ, ВЫГОВОРИТЬ, ПРОГОВОРИТЬ
АКАТЬ	116522-V	СОПРОВОЖДАТЬ (ПРОИЗВОДИТЬ ОДНОВРЕМЕННО)
АКТИРОВАТЬ	129183-V	РАССУЖДАТЬ (МЫСЛИТЬ, СТРОИТЬ УМОЗАКЛЮЧЕНИЕ)
АКТИРОВАТЬ	130887-V	ВЫВЕСТИ, СДЕЛАТЬ ВЫВОД
АКТИРОВАТЬ	116009-V	ЗАПРЕТИТЬ (НЕ ПОЗВОЛИТЬ)
АКТИРОВАТЬ	118698-V	ДЕЙСТВИЕ, ЦЕЛЕНАПРАВЛЕННОЕ ДЕЙСТВИЕ
АКТИРОВАТЬ	106884-V	СЧИТАТЬ, ПРИЗНАВАТЬ КЕМ-ЛИБО
АКТИРОВАТЬ	115486-V	ВКЛЮЧИТЬ В СОСТАВ
АКТИРОВАТЬ	112585-V	МЕТАТЬ, БРОСАТЬ С РАЗМАХОМ
АКТИРОВАТЬ	114364-V	ЛОВЛЯ ДОБЫЧИ
АКТИРОВАТЬ	3447-V	ОХОТА
АКТИРОВАТЬ	106646-V	ОТНОШЕНИЕ МЕЖДУ СУЩНОСТЯМИ
АЛЕТЬ	148420-V	ОТНОШЕНИЯ МЕЖДУ ЛЮДЬМИ
АЛЕТЬ	111100-V	ПЛАВИТЬ
АЛЕТЬ	129701-V	ВАРКА (ТЕХНОЛОГИЧЕСКИЙ ПРОЦЕСС)
АЛЕТЬ	117246-V	ВОСХВАЛЯТЬ
АЛЕТЬ	112995-V	СКЛОННОСТЬ (ПОСТОЯННОЕ ВЛЕЧЕНИЕ)
АЛЕТЬ	106494-V	ВЫПОЛНИТЬ, ИСПОЛНИТЬ, ОСУЩЕСТВИТЬ
АЛЕТЬ	106551-V	НЕПРИЯТНОЕ СОБЫТИЕ
АЛЕТЬ	106938-V	ПЕРЕМЕСТИТЬ
АЛЕТЬ	123430-V	КРИТИКОВАТЬ (ОБСУЖДАТЬ, РАЗБИРАТЬ С ЦЕЛЬЮ ОЦЕНИТЬ)
АННИГИЛИРОВАТЬ	106961-V	СОРЕВНОВАНИЕ, СОСТЯЗАНИЕ
АННИГИЛИРОВАТЬ	118698-V	ДЕЙСТВИЕ, ЦЕЛЕНАПРАВЛЕННОЕ ДЕЙСТВИЕ
АННИГИЛИРОВАТЬ	111978-V	ПРИБЛИЗИТЬСЯ НА РАССТОЯНИЕ
АННИГИЛИРОВАТЬ	106876-V	ВЫСКАЗАТЬ
АННИГИЛИРОВАТЬ	116816-V	ОБРАТИТЬСЯ СО СЛОВАМИ
АННИГИЛИРОВАТЬ	106884-V	СЧИТАТЬ, ПРИЗНАВАТЬ КЕМ-ЛИБО
АННИГИЛИРОВАТЬ	115486-V	ВКЛЮЧИТЬ В СОСТАВ
АННИГИЛИРОВАТЬ	111641-V	КИНОФОТОСЪЕМКА
АННИГИЛИРОВАТЬ	121163-V	ПРИЙТИ (ДОСТИГНУТЬ ПОСЛЕ К-Л. ДЕЙСТВИЙ)
АННИГИЛИРОВАТЬ	106638-V	УМЕНЬШИТЬ
АННОТИРОВАТЬ	106961-V	СОРЕВНОВАНИЕ, СОСТЯЗАНИЕ
АННОТИРОВАТЬ	118698-V	ДЕЙСТВИЕ, ЦЕЛЕНАПРАВЛЕННОЕ ДЕЙСТВИЕ
АННОТИРОВАТЬ	106876-V	ВЫСКАЗАТЬ
АННОТИРОВАТЬ	116816-V	ОБРАТИТЬСЯ СО СЛОВАМИ
АННОТИРОВАТЬ	129183-V	РАССУЖДАТЬ (МЫСЛИТЬ, СТРОИТЬ УМОЗАКЛЮЧЕНИЕ)
АННОТИРОВАТЬ	130887-V	ВЫВЕСТИ, СДЕЛАТЬ ВЫВОД
АННОТИРОВАТЬ	112585-V	МЕТАТЬ, БРОСАТЬ С РАЗМАХОМ
АННОТИРОВАТЬ	114364-V	ЛОВЛЯ ДОБЫЧИ
АННОТИРОВАТЬ	3447-V	ОХОТА
АННОТИРОВАТЬ	111978-V	ПРИБЛИЗИТЬСЯ НА РАССТОЯНИЕ
АУКАТЬСЯ	120015-V	ВЫЗВАТЬ (ПОТРЕБОВАТЬ ЯВИТЬСЯ)
АУКАТЬСЯ	107470-V	ИДТИ НОГАМИ
АУКАТЬСЯ	139800-V	ОБЕРНУТЬСЯ ТУДА И ОБРАТНО
АУКАТЬСЯ	111564-V	КЛЕЙМИТЬ, СТАВИТЬ КЛЕЙМО
АУКАТЬСЯ	121334-V	ВЫЖЕЧЬ ЗНАК, РИСУНОК
АУКАТЬСЯ	111387-V	ЗАСТРЕЛИТЬ (УБИТЬ)
АУКАТЬСЯ	2465-V	СТРЕЛЬБА
АУКАТЬСЯ	106646-V	ОТНОШЕНИЕ МЕЖДУ СУЩНОСТЯМИ
АУКАТЬСЯ	127089-V	РАЗМНОЖИТЬСЯ, РАСПЛОДИТЬСЯ
АУКАТЬСЯ	1221-V	ПРОИЗВОДСТВО ПРОДУКЦИИ
БЕРЕДИТЬ	114032-V	ТОСКА (ГРУСТЬ, УНЫНИЕ)
БЕРЕДИТЬ	106701-V	ДОСТИЧЬ, ДОБИТЬСЯ
БЕРЕДИТЬ	1221-V	ПРОИЗВОДСТВО ПРОДУКЦИИ
БЕРЕДИТЬ	5967-V	КИНОСЪЕМКА
БЕРЕДИТЬ	111387-V	ЗАСТРЕЛИТЬ (УБИТЬ)
БЕРЕДИТЬ	2465-V	СТРЕЛЬБА
БЕРЕДИТЬ	112145-V	КОНЧИТЬ, ЗАВЕРШИТЬ ДО КОНЦА
БЕРЕДИТЬ	126274-V	ПРИЙТИ К МЕСТУ
БЕРЕДИТЬ	110911-V	ВЫРВАТЬ, ВЫДРАТЬ
БЕРЕДИТЬ	112585-V	МЕТАТЬ, БРОСАТЬ С РАЗМАХОМ
БИЧЕВАТЬ	112585-V	МЕТАТЬ, БРОСАТЬ С РАЗМАХОМ
БИЧЕВАТЬ	114364-V	ЛОВЛЯ ДОБЫЧИ
БИЧЕВАТЬ	3447-V	ОХОТА
